product,price,quantity,date
Tablet,1178,8,2023-12-18T00:00:00.000Z
Mouse,518,3,2024-02-17T00:00:00.000Z
Smartwatch,1377,6,2024-01-27T00:00:00.000Z
Smartwatch,1471,3,2022-04-08T00:00:00.000Z
Laptop,557,8,2024-05-05T00:00:00.000Z
Mouse,1094,4,2024-05-21T00:00:00.000Z
Smartwatch,1987,8,2024-08-12T00:00:00.000Z
Keyboard,1642,10,2024-10-07T00:00:00.000Z
Tablet,756,3,2024-04-22T00:00:00.000Z
Phone,1413,5,2023-05-29T00:00:00.000Z
Keyboard,1165,10,2022-06-28T00:00:00.000Z
Keyboard,1307,2,2023-09-13T00:00:00.000Z
Headphones,870,4,2023-07-07T00:00:00.000Z
Headphones,1942,4,2022-01-28T00:00:00.000Z
Headphones,820,7,2024-08-12T00:00:00.000Z
Tablet,1283,2,2022-01-11T00:00:00.000Z
Tablet,1815,5,2022-02-02T00:00:00.000Z
Monitor,1613,9,2022-10-13T00:00:00.000Z
Monitor,1923,10,2024-07-01T00:00:00.000Z
Mouse,1331,1,2023-03-02T00:00:00.000Z
Laptop,1242,1,2023-04-05T00:00:00.000Z
Smartwatch,714,5,2022-05-07T00:00:00.000Z
Keyboard,1422,9,2024-08-29T00:00:00.000Z
Tablet,1635,3,2024-10-12T00:00:00.000Z
Tablet,1339,4,2024-05-25T00:00:00.000Z
Keyboard,603,9,2024-10-16T00:00:00.000Z
Headphones,874,10,2024-06-28T00:00:00.000Z
Headphones,766,4,2024-01-18T00:00:00.000Z
Tablet,1717,6,2024-06-17T00:00:00.000Z
Phone,512,7,2024-10-11T00:00:00.000Z
Mouse,1492,7,2024-05-02T00:00:00.000Z
Keyboard,1868,3,2024-04-06T00:00:00.000Z
Monitor,1769,9,2022-06-16T00:00:00.000Z
Keyboard,608,7,2024-01-05T00:00:00.000Z
Keyboard,929,2,2022-06-30T00:00:00.000Z
Smartwatch,1807,4,2022-03-11T00:00:00.000Z
Keyboard,1442,2,2022-12-07T00:00:00.000Z
Mouse,749,7,2022-10-06T00:00:00.000Z
Smartwatch,987,2,2024-03-19T00:00:00.000Z
Tablet,1752,4,2022-02-19T00:00:00.000Z
Tablet,1666,7,2024-03-20T00:00:00.000Z
Keyboard,1333,2,2022-12-20T00:00:00.000Z
Tablet,1120,9,2023-07-08T00:00:00.000Z
Laptop,1619,7,2022-07-15T00:00:00.000Z
Laptop,1721,8,2022-12-04T00:00:00.000Z
Laptop,1042,7,2023-07-09T00:00:00.000Z
Phone,939,9,2024-07-07T00:00:00.000Z
Keyboard,1483,9,2022-08-02T00:00:00.000Z
Headphones,1679,7,2022-01-22T00:00:00.000Z
Headphones,779,4,2022-08-27T00:00:00.000Z
Mouse,516,10,2022-02-17T00:00:00.000Z
Headphones,1462,5,2022-10-23T00:00:00.000Z
Keyboard,1481,9,2024-12-11T00:00:00.000Z
Laptop,831,3,2024-08-17T00:00:00.000Z
Smartwatch,1396,4,2022-09-15T00:00:00.000Z
Mouse,1025,2,2024-06-15T00:00:00.000Z
Mouse,1835,7,2023-05-01T00:00:00.000Z
Headphones,1051,4,2023-05-12T00:00:00.000Z
Keyboard,1188,8,2023-09-08T00:00:00.000Z
Phone,634,6,2024-05-14T00:00:00.000Z
Smartwatch,1659,5,2022-02-14T00:00:00.000Z
Mouse,619,1,2024-02-16T00:00:00.000Z
Phone,770,3,2024-04-07T00:00:00.000Z
Monitor,1607,7,2023-09-26T00:00:00.000Z
Phone,1413,8,2023-10-01T00:00:00.000Z
Headphones,1748,8,2023-01-26T00:00:00.000Z
Tablet,750,3,2022-02-08T00:00:00.000Z
Keyboard,768,7,2024-06-24T00:00:00.000Z
Phone,610,4,2023-05-26T00:00:00.000Z
Mouse,1578,2,2024-07-09T00:00:00.000Z
Keyboard,1873,8,2023-09-14T00:00:00.000Z
Phone,567,5,2023-10-07T00:00:00.000Z
Smartwatch,1782,6,2024-09-10T00:00:00.000Z
Mouse,1344,2,2022-12-12T00:00:00.000Z
Monitor,1721,4,2022-10-07T00:00:00.000Z
Smartwatch,684,8,2022-10-18T00:00:00.000Z
Mouse,1274,1,2023-01-28T00:00:00.000Z
Tablet,761,1,2024-03-05T00:00:00.000Z
Mouse,1908,7,2024-07-21T00:00:00.000Z
Smartwatch,1242,3,2023-02-18T00:00:00.000Z
Phone,1237,1,2023-09-03T00:00:00.000Z
Tablet,1947,2,2024-01-08T00:00:00.000Z
Headphones,1150,5,2023-08-12T00:00:00.000Z
Headphones,1516,3,2023-08-28T00:00:00.000Z
Mouse,1052,4,2023-06-01T00:00:00.000Z
Keyboard,849,4,2023-12-24T00:00:00.000Z
Phone,1765,4,2023-07-02T00:00:00.000Z
Monitor,1858,7,2023-05-11T00:00:00.000Z
Mouse,569,2,2024-08-27T00:00:00.000Z
Phone,573,4,2022-12-28T00:00:00.000Z
Keyboard,1604,10,2024-04-02T00:00:00.000Z
Monitor,950,8,2023-04-16T00:00:00.000Z
Tablet,650,7,2024-07-23T00:00:00.000Z
Keyboard,893,6,2023-09-19T00:00:00.000Z
Mouse,735,8,2023-06-14T00:00:00.000Z
Laptop,1698,10,2022-08-05T00:00:00.000Z
Phone,1771,2,2023-11-19T00:00:00.000Z
Smartwatch,1981,5,2024-02-07T00:00:00.000Z
Smartwatch,653,3,2024-04-15T00:00:00.000Z
Tablet,908,3,2024-02-16T00:00:00.000Z
Phone,671,10,2023-09-25T00:00:00.000Z
Headphones,1157,1,2023-08-22T00:00:00.000Z
Tablet,1860,6,2023-03-16T00:00:00.000Z
Keyboard,1028,4,2024-03-22T00:00:00.000Z
Laptop,1086,6,2022-03-25T00:00:00.000Z
Tablet,1207,3,2022-05-10T00:00:00.000Z
Keyboard,1648,9,2024-11-26T00:00:00.000Z
Monitor,1288,5,2023-10-15T00:00:00.000Z
Smartwatch,1259,3,2022-04-15T00:00:00.000Z
Keyboard,806,5,2024-05-11T00:00:00.000Z
Monitor,1543,2,2023-10-17T00:00:00.000Z
Monitor,925,3,2022-02-21T00:00:00.000Z
Mouse,1156,3,2022-04-04T00:00:00.000Z
Smartwatch,644,4,2022-08-04T00:00:00.000Z
Phone,1661,7,2023-07-28T00:00:00.000Z
Monitor,877,3,2023-01-23T00:00:00.000Z
Monitor,1837,7,2024-01-30T00:00:00.000Z
Tablet,1354,7,2023-09-17T00:00:00.000Z
Monitor,1626,8,2022-07-12T00:00:00.000Z
Headphones,1947,6,2023-03-08T00:00:00.000Z
Monitor,1068,4,2024-06-13T00:00:00.000Z
Laptop,1732,5,2024-08-17T00:00:00.000Z
Smartwatch,585,8,2022-01-05T00:00:00.000Z
Mouse,1099,3,2023-07-11T00:00:00.000Z
